Date,Predicted Sales,Lower Bound,Upper Bound
2016-03-14,2027.8485930983738,-961.6234750112493,4700.483836295285
2016-03-15,2388.845239372039,-562.8522626498244,5031.1261986114705
2016-03-16,1947.8934692360388,-684.6418719487872,4657.763592119239
2016-03-17,1364.5076700308016,-1373.380638030626,4254.288354224761
2016-03-19,2384.4425644548323,-324.2132063059581,5173.322785558517
2016-03-20,2112.759219775442,-791.0019356831621,5101.565031404541
2016-03-21,1949.5914145553347,-646.7992491179502,4809.7573175915
2016-03-22,2243.399194661262,-474.22763236462447,5109.017524162221
2016-03-23,1741.194969199648,-954.6337320829467,4613.849254816477
2016-03-24,1103.4230923108942,-1640.825167508755,3788.3901103438984
2016-03-26,2037.9756153166952,-809.1956870277274,4905.727045176013
2016-03-27,1736.1948669143549,-995.4036025668304,4394.776959856984
2016-03-28,1551.584505205017,-1157.2090958537665,4330.950301891728
2016-03-29,1832.5456001672974,-840.5520377742974,4660.752602553212
2016-03-30,1325.8375523333186,-1513.3401876187113,3904.0685530061896
2016-03-31,691.4702421231864,-2039.2646540753094,3644.3242549845863
2016-04-02,1654.0160772402564,-930.7916264244699,4321.851909653393
2016-04-04,1218.3298810264114,-1437.53266028473,3911.713290492541
2016-04-05,1530.7312784414069,-1207.3137776782362,4236.895369344971
2016-04-06,1058.115343518052,-1736.5385587711182,3870.995484293144
2016-04-07,459.4173785313287,-2231.130798621257,3178.3968035692224
2016-04-09,1493.8535923614045,-1329.1025204595765,4125.805496422472
2016-04-10,1249.3227405037378,-1424.9680192925662,4151.762111054057
2016-04-11,1124.4247699027494,-1401.5318087037485,3889.5537335951617
2016-04-13,1018.5248366457552,-1597.2186255668032,3738.6425091516794
2016-04-14,441.07134976758084,-2372.9556665836913,2885.6472662918327
2016-04-16,1504.550552149503,-1458.4034800430525,4298.412435025154
2016-04-17,1267.618034351758,-1376.0994725490727,3923.9936974414277
2016-04-18,1145.8135386523722,-1693.6722856521164,3993.252189857158
2016-04-19,1486.0296191490386,-1253.1463138487604,4100.863207238819
2016-04-20,1033.729409977409,-1643.7593810495468,3702.9023486415354
2016-04-21,447.86402912033327,-2302.8989596547967,3344.4225906502415
2016-04-22,1056.1561800005406,-1822.4269080934462,3603.022223735544
2016-04-24,1234.9800814931073,-1405.2003854531292,3890.39522712806
2016-04-25,1097.6045271479798,-1532.8452593333839,3505.441479586559
2016-04-26,1422.2446065102167,-1264.0151885401438,4230.854095392649
2016-04-27,955.0762922457989,-1775.7839225091761,3714.7275569430135
2016-04-28,355.7255182226868,-2210.501362790732,3190.8985180017025
2016-04-29,952.5324544866846,-1740.132719790147,3785.425680082301
2016-04-30,1374.1828917336875,-1373.8860395780735,4264.519419502019
2016-05-01,1116.468706388236,-1553.4296038068883,3945.357197617057
2016-05-02,976.4967922090649,-1847.3231971240161,3645.5154195065925
2016-05-03,1302.1323461868592,-1405.7289636374794,4201.094038296236
2016-05-04,839.6789092599267,-2091.8300989751665,3480.686828252287
2016-05-07,1294.7781460882163,-1331.6351376413063,3950.957144718235
2016-05-08,1055.6318710340659,-1481.838210506622,3679.3690803545937
2016-05-09,936.9058013456637,-1783.6896196254413,3582.4749526324103
2016-05-10,1285.9769759644482,-1337.0282386464526,4002.6722646043904
2016-05-11,848.5902152673891,-2016.3853038111067,3333.2146854832413
2016-05-12,283.7783506145722,-2287.009690863692,2997.1069797129203
2016-05-13,919.1425387712128,-1736.6653031128672,3594.47323625854
2016-05-14,1382.5065273434866,-1197.435078003402,4189.4068421980355
2016-05-15,1168.7030830321573,-1702.69173499795,3974.4660793904727
2016-05-16,1073.8111729377454,-1698.8200867758578,3665.043322402623
2016-05-17,1444.6289434020705,-1252.7650064094132,4041.283774280822
2016-05-18,1026.3840308893793,-1822.903048677143,3637.0291862163613
2016-05-20,1125.6813883735979,-1611.0957661620494,3895.049929251847
2016-05-21,1597.995827070388,-1179.185440585439,4364.991839404943
2016-05-22,1389.2475438806289,-1463.1650596455192,4252.179475614405
2016-05-23,1295.4274683873857,-1309.8521191680368,4160.084060117401
2016-05-24,1663.3449015013466,-1073.2304290165107,4366.759017904492
2016-05-25,1238.3356778072184,-1284.3854522343015,4039.8556677627575
2016-05-26,679.1819238928033,-1917.8830646105018,3355.1314737814323
2016-05-28,1768.8913528829917,-786.5184481900121,4318.873108233344
2016-05-29,1540.7295058441885,-1204.6933035875318,4274.71151146962
2016-05-30,1425.382256065985,-1289.5531477243662,4062.1618928333273
2016-05-31,1770.1742491763084,-946.923273794027,4550.032182413177
2016-06-01,1320.9800690641089,-1432.5708169793763,4041.2861900063726
2016-06-04,1778.0539229294893,-667.5928740911819,4473.867043961214
2016-06-05,1526.8143566105462,-830.9013858924222,4335.5859892164535
2016-06-07,1714.9413528268217,-1129.9079703954956,4551.381879181728
2016-06-08,1248.2215967502761,-1527.3431173448498,3963.6492293600377
2016-06-09,649.2988169415889,-2187.0407082552074,3433.4474093734234
2016-06-11,1668.095998783362,-978.6835159171266,4292.287518621941
2016-06-12,1409.9404988640597,-1429.8331650168022,4203.944963755667
2016-06-13,1268.8182285269058,-1344.7045746799272,4300.836746059841
2016-06-14,1592.3341890291692,-1265.4881368311978,4427.935022293605
2016-06-15,1126.5182290772723,-1620.591438395666,3990.2321252136826
2016-06-16,530.731587441744,-2249.819440122454,3200.897204894655
2016-06-18,1561.3848006976434,-1236.8802015261801,4127.938604557173
2016-06-19,1311.3156353416548,-1354.7337804510348,3937.2987370916053
2016-06-20,1179.2665296519385,-1565.4697267408771,3709.998832971765
2016-06-21,1512.4975584747526,-1127.8763840141596,4204.195411260878
2016-06-22,1056.7016226962223,-1683.896017985108,3841.5443036833035
2016-06-23,470.92081032994975,-2149.834430415236,3281.861425612346
2016-06-25,1520.4073379898086,-1377.1859524693652,4391.539665945921
2016-06-26,1278.7091680145418,-1454.0725342615472,4097.994514024592
2016-06-28,1493.6427738772109,-1207.5604889836782,4264.506737857428
2016-06-29,1043.0280504565487,-1573.4616412082748,3853.0201797246177
2016-07-02,1515.3209808939735,-1187.0715768779564,4288.633366163764
2016-07-03,1274.3575315904452,-1327.6261765900808,3943.030007160209
2016-07-04,1149.6032793316394,-1689.4021750992122,3886.7857383229302
2016-07-05,1488.3557683286015,-1298.7351948586163,4261.265283405432
2016-07-06,1036.4131442005435,-1722.4342964226464,3902.538851475692
2016-07-08,1065.9552128138503,-1670.1676480995227,3795.861056506212
2016-07-09,1503.5536894673394,-1228.9698983524634,4131.991191451791
2016-07-10,1261.1021047981403,-1661.3950618245894,3903.736664231906
2016-07-11,1135.2492483891863,-1474.471098008541,3762.1292736664586
2016-07-12,1473.4236304425121,-1211.593027832375,4203.67855093821
2016-07-13,1021.5247786402815,-1715.0270515571378,3883.3082030044784
2016-07-14,438.827971946052,-2272.3623203292295,2995.2987390701114
2016-07-16,1493.0370560817912,-990.9434054594927,4191.415022700448
2016-07-17,1253.450203021915,-1503.0540095316815,3802.7749049613863
2016-07-18,1131.077771288957,-1651.9948762620413,3891.396354220911
2016-07-19,1473.2498453178973,-1359.0495323158289,4176.086067364116
2016-07-20,1025.7430318761067,-1546.4872257865686,3675.402458652642
2016-07-23,1511.3233685839766,-1208.9704413125728,4169.568545348781
2016-07-24,1276.1970369847636,-1422.2021056223034,4026.204580734212
2016-07-25,1157.9152733684623,-1437.408013844544,3701.178374146098
2016-07-26,1503.6745307245556,-1393.5265833370472,4537.1957073858375
2016-07-27,1059.1403185805118,-1677.9354002686102,3785.293260775616
2016-07-30,1549.2955743613084,-1275.19726861456,4160.88352792793
2016-07-31,1314.2097042963271,-1560.0774221416777,4021.2819422551643
2016-08-01,1195.3076606571597,-1626.6851219873272,3900.1334007429687
2016-08-02,1539.8964570915102,-1089.8869599679351,4165.5770601283575
2016-08-05,1135.1543794306663,-1459.5267113281748,3787.023384022606
2016-08-06,1578.8553387700854,-1059.6787885240358,4523.81017302339
